age,reaction_time
40,1986.991348
40,1823.271061
41,1580.601342
41,1494.33818
42,1247.036095
42,1723.073269
42,572.8538356
43,1403.073939
44,1215.887769
45,2626.320287
45,1379.444028
45,1153.496157
45,2090.102255
46,729.8286951
47,1341.68617
47,660.9015523
48,2184.597466
48,1103.04374
49,1143.812273
49,1611.346608
49,1231.899084
49,1852.315458
50,1746.866164
50,1715.600952
50,1433.217042
51,2002.955503
51,1275.361638
51,2593.523437
51,566.8370292
51,639.5051049
52,1157.311357
52,2280.258045
52,2464.047985
52,2337.088591
52,1906.166777
52,2195.119095
52,1597.256138
52,1466.90656
53,2432.156639
54,1636.842049
54,1372.398839
54,1555.921263
55,846.0871072
55,1706.709165
55,2443.384618
56,1604.914654
57,2127.57771
60,1708.958238
60,2195.49069
60,1772.631025
60,2526.479404
60,971.7558902
61,824.0360003
61,1732.963148
62,2235.310535
62,2750.276355
62,2334.199053
62,3056.088566
62,2552.884617
62,2569.922827
62,1738.920151
62,1585.817174
63,1352.235696
63,1995.141688
63,1552.189349
63,1847.753685
63,1942.961671
64,1410.268326
65,1341.447778
65,2104.792746
65,1302.172606
65,2499.853586
66,2770.377029
66,2898.145367
67,1600.910767
67,1016.464736
67,2566.410155
67,978.2343401
67,1845.258333
68,1527.161169
69,1751.347979
69,1858.000557
69,1420.199794
69,1677.465055
70,2802.99117
70,2464.809504
70,1944.072934
70,2180.967091
70,2435.87268
70,2589.765069
70,2497.729095
70,2020.13709
70,1805.895919
72,3187.075082
72,2529.834194
73,1821.068942
73,2207.167426
73,2999.51875
73,2019.614898
74,1831.322094
75,2545.032619
75,3088.080775
75,1885.796709
76,3385.257484
76,2338.594291
76,839.111703
76,4083.330691
77,2857.492212
78,1773.530679
79,3759.237665
80,2219.100419
80,2375.422715
80,2341.387027
80,2013.495771
80,4174.111216
80,3476.023298
80,2727.757244
81,3656.993705
81,4604.657888
82,4298.333854
82,3441.352186
83,4047.6918
83,5398.773495
83,3340.782158
83,4685.166685
83,3608.974232
84,3689.078704
84,2744.087081
84,3797.571942
84,4567.347486
85,3247.424811
85,4321.197024
86,4028.491416
86,4780.010105
87,4740.41193
87,4968.032557
88,5853.429383
88,4948.585045
88,4607.9965
88,5851.452262
88,4634.882388
89,4439.082744
89,4609.896008
90,6808.116327
90,7398.925522
90,7458.75001
